,Sentiment_Flag
9119,Neutral_or_Positive
9122,Negative
9129,Negative
9135,Neutral_or_Positive
9143,Negative
9146,Neutral_or_Positive
9147,Neutral_or_Positive
9154,Neutral_or_Positive
9163,Negative
9165,Neutral_or_Positive
9169,Neutral_or_Positive
9185,Neutral_or_Positive
9200,Neutral_or_Positive
9202,Negative
9211,Neutral_or_Positive
9219,Neutral_or_Positive
9222,Neutral_or_Positive
9227,Neutral_or_Positive
9236,Neutral_or_Positive
9243,Negative
9252,Neutral_or_Positive
9262,Neutral_or_Positive
9267,Neutral_or_Positive
9274,Negative
9301,Negative
9327,Negative
9335,Negative
9339,Neutral_or_Positive
9358,Negative
9360,Neutral_or_Positive
9362,Negative
9365,Neutral_or_Positive
9377,Negative
9384,Negative
9391,Negative
9399,Neutral_or_Positive
9406,Neutral_or_Positive
9416,Neutral_or_Positive
9417,Negative
9418,Neutral_or_Positive
9454,Neutral_or_Positive
9456,Neutral_or_Positive
9465,Neutral_or_Positive
9474,Neutral_or_Positive
9480,Neutral_or_Positive
9490,Neutral_or_Positive
9493,Negative
9507,Neutral_or_Positive
9513,Neutral_or_Positive
9516,Neutral_or_Positive
9521,Negative
9527,Negative
9535,Negative
9537,Negative
9550,Negative
9574,Neutral_or_Positive
9603,Neutral_or_Positive
9625,Neutral_or_Positive
9651,Negative
9684,Neutral_or_Positive
9704,Neutral_or_Positive
9714,Negative
9719,Negative
9742,Negative
9745,Negative
9748,Negative
9759,Negative
9762,Neutral_or_Positive
9770,Negative
9789,Neutral_or_Positive
9800,Neutral_or_Positive
9804,Neutral_or_Positive
9835,Neutral_or_Positive
9841,Negative
9842,Neutral_or_Positive
9850,Negative
9858,Neutral_or_Positive
9872,Neutral_or_Positive
9886,Negative
9891,Negative
9896,Negative
9920,Negative
9922,Neutral_or_Positive
9929,Neutral_or_Positive
9938,Negative
9948,Negative
9951,Negative
9952,Neutral_or_Positive
9953,Negative
9969,Neutral_or_Positive
9971,Neutral_or_Positive
9981,Negative
9987,Negative
10004,Negative
10028,Neutral_or_Positive
10033,Negative
10034,Negative
10038,Negative
10044,Neutral_or_Positive
10047,Neutral_or_Positive
10060,Neutral_or_Positive
10061,Neutral_or_Positive
10069,Negative
10072,Neutral_or_Positive
10077,Neutral_or_Positive
10078,Neutral_or_Positive
10086,Negative
10096,Negative
10101,Negative
10115,Neutral_or_Positive
10124,Neutral_or_Positive
10133,Neutral_or_Positive
10143,Negative
10155,Neutral_or_Positive
10173,Negative
10185,Neutral_or_Positive
10188,Neutral_or_Positive
10222,Negative
10225,Negative
10229,Neutral_or_Positive
10240,Neutral_or_Positive
10302,Negative
10349,Neutral_or_Positive
10373,Neutral_or_Positive
10397,Negative
10398,Neutral_or_Positive
10406,Negative
10413,Neutral_or_Positive
10426,Neutral_or_Positive
10439,Neutral_or_Positive
10440,Negative
10456,Neutral_or_Positive
10459,Negative
10461,Negative
10469,Negative
10474,Neutral_or_Positive
10494,Negative
10502,Neutral_or_Positive
10503,Negative
10506,Neutral_or_Positive
10509,Negative
10510,Negative
10512,Neutral_or_Positive
10535,Neutral_or_Positive
10542,Negative
10546,Neutral_or_Positive
10569,Neutral_or_Positive
10583,Negative
10609,Neutral_or_Positive
10639,Negative
10646,Neutral_or_Positive
10650,Neutral_or_Positive
10654,Negative
10659,Neutral_or_Positive
10675,Negative
10679,Negative
10685,Negative
10708,Neutral_or_Positive
